station_id,station_name,lat,lon,division
BWS01,Bhusaval Station 01,20.947147,75.095407,bhusaval
BWS02,Bhusaval Station 02,20.816194,75.0558,bhusaval
BWS03,Bhusaval Station 03,20.877064,75.263983,bhusaval
BWS04,Bhusaval Station 04,20.787183,75.113394,bhusaval
BWS05,Bhusaval Station 05,20.94401,75.124555,bhusaval
BWS06,Bhusaval Station 06,20.930169,75.197109,bhusaval
BWS07,Bhusaval Station 07,20.640116,74.964782,bhusaval
BWS08,Bhusaval Station 08,20.659694,75.263032,bhusaval
BWS09,Bhusaval Station 09,20.70107,74.98078,bhusaval
BWS10,Bhusaval Station 10,20.911161,74.992945,bhusaval
BWS11,Bhusaval Station 11,20.851699,75.282479,bhusaval
BWS12,Bhusaval Station 12,20.893417,74.992809,bhusaval
BWS13,Bhusaval Station 13,20.924709,75.2217,bhusaval
BWS14,Bhusaval Station 14,20.932412,75.269189,bhusaval
BWS15,Bhusaval Station 15,20.892541,75.001946,bhusaval
