station_id,station_name,lat,lon,division
SLP01,Solapur Station 01,17.797222,75.750809,solapur
SLP02,Solapur Station 02,17.567732,76.031897,solapur
SLP03,Solapur Station 03,17.686616,75.884343,solapur
SLP04,Solapur Station 04,17.761052,76.056944,solapur
SLP05,Solapur Station 05,17.687742,76.058167,solapur
SLP06,Solapur Station 06,17.5047,75.913413,solapur
SLP07,Solapur Station 07,17.727023,76.031026,solapur
SLP08,Solapur Station 08,17.651176,75.952812,solapur
SLP09,Solapur Station 09,17.583864,75.989155,solapur
SLP10,Solapur Station 10,17.688162,76.08279,solapur
SLP11,Solapur Station 11,17.670054,75.795704,solapur
SLP12,Solapur Station 12,17.765405,75.888767,solapur
SLP13,Solapur Station 13,17.527025,76.072841,solapur
SLP14,Solapur Station 14,17.658193,75.786847,solapur
SLP15,Solapur Station 15,17.552418,75.81793,solapur
