station_id,station_name,lat,lon,division
MUM01,Mumbai Station 01,19.045983,72.701361,mumbai
MUM02,Mumbai Station 02,19.193074,72.80521,mumbai
MUM03,Mumbai Station 03,19.028628,72.767418,mumbai
MUM04,Mumbai Station 04,19.099763,72.755908,mumbai
MUM05,Mumbai Station 05,18.940736,72.853557,mumbai
MUM06,Mumbai Station 06,19.098348,72.760464,mumbai
MUM07,Mumbai Station 07,19.09516,72.825464,mumbai
MUM08,Mumbai Station 08,19.240903,72.730566,mumbai
MUM09,Mumbai Station 09,19.24831,72.846063,mumbai
MUM10,Mumbai Station 10,19.077417,72.751033,mumbai
MUM11,Mumbai Station 11,19.154828,72.76609,mumbai
MUM12,Mumbai Station 12,19.018962,72.706168,mumbai
MUM13,Mumbai Station 13,19.018226,73.045994,mumbai
MUM14,Mumbai Station 14,19.248367,72.965731,mumbai
MUM15,Mumbai Station 15,18.897244,73.036186,mumbai
